accuracy,loss,val_accuracy,val_loss,learning_rate
0.04453650861978531,3.974280834197998,0.13942307233810425,3.5859158039093018,0.0010000000474974513
0.09476955235004425,3.594658374786377,0.20192307233810425,3.140004873275757,0.0010000000474974513
0.1444847285747528,3.2192115783691406,0.30048078298568726,2.69356369972229,0.0010000000474974513
0.17814603447914124,2.927241086959839,0.41586539149284363,2.300525426864624,0.0010000000474974513
0.23873640596866608,2.657909870147705,0.4423076808452606,2.136608600616455,0.0010000000474974513
0.29207664728164673,2.415254592895508,0.5096153616905212,1.8761965036392212,0.0010000000474974513
0.3272915482521057,2.2898545265197754,0.5432692170143127,1.7391588687896729,0.0010000000474974513
0.35059553384780884,2.156071662902832,0.557692289352417,1.6035817861557007,0.0010000000474974513
0.3723459243774414,2.0635786056518555,0.5817307829856873,1.5570412874221802,0.0010000000474974513
0.4029000401496887,1.8915094137191772,0.6105769276618958,1.447050929069519,0.0010000000474974513
0.4060072600841522,1.902407169342041,0.6009615659713745,1.4402403831481934,0.0010000000474974513
0.42516830563545227,1.7709214687347412,0.6322115659713745,1.3872631788253784,0.0010000000474974513
0.4174003005027771,1.8203648328781128,0.65625,1.3545188903808594,0.0010000000474974513
0.45624029636383057,1.706228494644165,0.6370192170143127,1.2929447889328003,0.0010000000474974513
0.45624029636383057,1.6754521131515503,0.6706730723381042,1.2082500457763672,0.0010000000474974513
0.44640082120895386,1.828633189201355,0.6658653616905212,1.1806845664978027,9.999999747378752e-06
0.46763333678245544,1.7034196853637695,0.6754807829856873,1.17999267578125,9.999999747378752e-06
0.5018125176429749,1.5924873352050781,0.6754807829856873,1.171413779258728,9.999999747378752e-06
0.5132055878639221,1.4915127754211426,0.6899038553237915,1.1467028856277466,9.999999747378752e-06
0.5121698379516602,1.4590871334075928,0.6971153616905212,1.1283328533172607,9.999999747378752e-06
0.5354738235473633,1.409217357635498,0.6995192170143127,1.1016415357589722,9.999999747378752e-06
0.5546349287033081,1.35845947265625,0.7115384340286255,1.0774296522140503,9.999999747378752e-06
0.5769031643867493,1.2802412509918213,0.7067307829856873,1.0601708889007568,9.999999747378752e-06
0.601760745048523,1.2276649475097656,0.7067307829856873,1.0361016988754272,9.999999747378752e-06
0.6012428998947144,1.2105762958526611,0.7163461446762085,1.0124834775924683,9.999999747378752e-06
0.601760745048523,1.202304482460022,0.723557710647583,0.9919106960296631,9.999999747378752e-06
0.5960642099380493,1.184200644493103,0.7163461446762085,0.9731431603431702,9.999999747378752e-06
0.6157431602478027,1.14842689037323,0.7211538553237915,0.9565549492835999,9.999999747378752e-06
0.6281719207763672,1.090899109840393,0.7331730723381042,0.955447793006897,9.999999747378752e-06
0.6354220509529114,1.055533528327942,0.7259615659713745,0.9400572180747986,9.999999747378752e-06
0.657172441482544,1.066774845123291,0.7331730723381042,0.9180122017860413,9.999999747378752e-06
0.6556188464164734,1.0115078687667847,0.7403846383094788,0.9195088744163513,9.999999747378752e-06
0.6509580612182617,1.0521349906921387,0.7355769276618958,0.9101195931434631,9.999999747378752e-06
0.6587260365486145,0.9716234803199768,0.7355769276618958,0.9003425240516663,9.999999747378752e-06
0.6830657720565796,0.9606629610061646,0.745192289352417,0.8943827748298645,9.999999747378752e-06
0.6841015219688416,0.9456168413162231,0.7475961446762085,0.8852430582046509,9.999999747378752e-06
0.6851372122764587,0.9138432741165161,0.745192289352417,0.8807806372642517,9.999999747378752e-06
0.6939409375190735,0.8730238080024719,0.754807710647583,0.8714555501937866,9.999999747378752e-06
0.7042983174324036,0.8603227734565735,0.7668269276618958,0.8603399991989136,9.999999747378752e-06
0.7198342680931091,0.8182553648948669,0.7644230723381042,0.8659836649894714,9.999999747378752e-06
